Np,probka,vpp,dt,f,jakość,Uwagi
1,Acs,22,14.4,113.6,3,
2,Acfm,15.8,19.6,50,5,
3,Acc,15.8,23.6,50,5,
4,Dcfm,15.8,22.4,250,4,
5,Fcs,15,24,100,4,
6,Acf,14.9,360,45.45,3,
7,Dcs,14.4,25.6,250,2,
8,Dcf,14,85,40,3,
9,Fcfm,13.9,46,100,4,
10,Fcc,13.6,41,100,4,
11,Dcc,13.1,18.4,76.9,3,Znacząca zawartość 2. harmonicznej.
12,Bcs,12.3,14.4,200,4,
13,Bcfm,11,6.4,156.2,5,Jeden okres sygnału trójkątnego
14,Ecfm,10.9,22,100,3,Znacząca zawartość wyższych harmonicznych.
15,Ecs,10.9,32.4,100,3,Znacząca zawartość wyższych harmonicznych.
16,S,8.88,5.8,200,5,Jeden okres sygnału trójkątnego
17,rBcfm,6.68,5,200,5,Jeden okres sygnału trójkątnego
18,Ecc,6.64,52,100,5,
19,SA,3.36,11.6,250,2,Znacząca zawartość wyższych harmonicznych. Długotrwały stan nieustalony.
20,rBcs,2.96,33,100,3,
21,Bcc,2.76,2.2,454,5,Duży współczynnik wypełnienia sygnału. Brak okresowości.
22,rBcc,2.62,5.8,500,4,
